checkpoint,trial,block_x,block_y,approached,grasped,placed,success,failure_mode,maxlift,notes
checkpoint-45000,0,,,1,1,0,0,grasp_slip,,example row - delete me
checkpoint-45000,1,,,,,,,,,
checkpoint-45000,2,,,,,,,,,
checkpoint-45000,3,,,,,,,,,
checkpoint-45000,4,,,,,,,,,
checkpoint-45000,5,,,,,,,,,
checkpoint-45000,6,,,,,,,,,
checkpoint-45000,7,,,,,,,,,
checkpoint-45000,8,,,,,,,,,
checkpoint-45000,9,,,,,,,,,
checkpoint-45000,10,,,,,,,,,
checkpoint-45000,11,,,,,,,,,
checkpoint-45000,12,,,,,,,,,
checkpoint-45000,13,,,,,,,,,
checkpoint-45000,14,,,,,,,,,
checkpoint-45000,15,,,,,,,,,
checkpoint-45000,16,,,,,,,,,
checkpoint-45000,17,,,,,,,,,
checkpoint-45000,18,,,,,,,,,
checkpoint-45000,19,,,,,,,,,
checkpoint-45000,20,,,,,,,,,
checkpoint-27000,1,,,,,,,,,
checkpoint-27000,2,,,,,,,,,
checkpoint-27000,3,,,,,,,,,
checkpoint-27000,4,,,,,,,,,
checkpoint-27000,5,,,,,,,,,
checkpoint-27000,6,,,,,,,,,
checkpoint-27000,7,,,,,,,,,
checkpoint-27000,8,,,,,,,,,
checkpoint-27000,9,,,,,,,,,
checkpoint-27000,10,,,,,,,,,
checkpoint-27000,11,,,,,,,,,
checkpoint-27000,12,,,,,,,,,
checkpoint-27000,13,,,,,,,,,
checkpoint-27000,14,,,,,,,,,
checkpoint-27000,15,,,,,,,,,
checkpoint-27000,16,,,,,,,,,
checkpoint-27000,17,,,,,,,,,
checkpoint-27000,18,,,,,,,,,
checkpoint-27000,19,,,,,,,,,
checkpoint-27000,20,,,,,,,,,
